Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Andrew Wiggins,PF,25,GSW,39,39,32.3,6.6,14.1,.470,1.8,4.9,.358,4.8,9.1,.531,.533,2.2,3.3,.685,1.1,3.5,4.5,2.2,0.8,1.0,1.9,2.3,17.2
Grant Williams,PF,22,BOS,30,6,18.1,1.9,4.0,.467,0.9,2.1,.422,1.0,1.9,.518,.579,0.5,1.0,.516,0.9,1.9,2.9,0.9,0.5,0.4,0.9,2.7,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenrich Williams,PF,26,OKC,39,6,19.3,2.8,4.9,.568,0.6,1.4,.407,2.2,3.5,.632,.626,0.5,0.8,.545,1.3,2.7,3.9,1.7,0.7,0.2,0.9,1.8,6.6
Lou Williams,PG,34,LAC,37,3,22.2,4.4,10.4,.427,1.1,2.7,.396,3.4,7.6,.438,.479,2.4,2.9,.849,0.4,1.9,2.3,3.6,0.9,0.1,1.6,1.0,12.4
Patrick Williams,PF,19,CHI,36,36,28.3,3.8,8.1,.473,0.9,2.3,.393,2.9,5.8,.505,.529,1.6,2.0,.781,0.9,3.8,4.7,1.3,0.8,0.7,1.5,2.3,10.2
Robert Williams,C,23,BOS,31,0,16.3,3.1,4.3,.722,0.0,0.0,.000,3.1,4.3,.727,.722,0.9,1.4,.643,2.3,3.7,6.0,1.2,0.9,1.6,1.0,1.8,7.1
Zion Williamson,PF,20,NOP,37,37,32.6,9.9,16.0,.619,0.2,0.5,.316,9.7,15.5,.629,.624,5.6,8.1,.691,2.7,4.3,7.0,3.4,0.9,0.7,2.5,2.4,25.5
D.J. Wilson,PF,24,MIL,12,0,8.8,1.3,3.6,.372,0.8,2.3,.357,0.5,1.3,.400,.488,0.1,0.2,.500,0.3,1.8,2.1,0.3,0.1,0.3,0.3,1.1,3.6
Dylan Windler,SF,24,CLE,24,0,18.8,2.2,4.8,.457,1.0,2.8,.368,1.2,2.0,.583,.565,0.9,1.1,.808,0.8,3.3,4.1,1.3,0.7,0.5,1.0,1.2,6.3
Justise Winslow,SF,24,MEM,9,0,22.3,3.8,10.2,.370,0.4,2.3,.190,3.3,7.9,.423,.391,0.8,1.3,.583,0.9,4.6,5.4,2.1,0.6,0.7,1.6,2.6,8.8
Cassius Winston,PG,22,WAS,7,0,7.1,0.7,1.6,.455,0.6,1.1,.500,0.1,0.4,.333,.636,0.3,0.3,1.000,0.0,0.7,0.7,1.0,0.0,0.1,0.1,0.6,2.3
James Wiseman,C,19,GSW,28,17,20.6,5.0,9.5,.528,0.4,1.0,.379,4.6,8.4,.547,.549,1.6,2.6,.616,1.4,4.5,5.9,0.6,0.3,1.0,1.5,3.1,12.0
Christian Wood,C,25,HOU,17,17,31.2,8.8,15.7,.558,1.9,4.5,.421,6.9,11.2,.613,.618,2.6,3.8,.688,1.8,8.4,10.2,1.3,0.9,1.5,1.8,1.9,22.0
Robert Woodard,SF,21,SAC,6,0,2.8,1.0,1.8,.545,0.2,0.5,.333,0.8,1.3,.625,.591,0.0,0.3,.000,0.5,0.8,1.3,0.0,0.0,0.0,0.2,0.0,2.2
Delon Wright,SG,28,DET,31,26,29.1,3.8,8.0,.470,1.0,2.5,.392,2.8,5.5,.506,.532,2.0,2.6,.778,1.1,3.5,4.5,4.8,1.4,0.5,1.2,1.2,10.6
Thaddeus Young,PF,32,CHI,33,1,25.0,5.6,9.3,.601,0.2,0.7,.227,5.4,8.6,.630,.609,0.8,1.5,.531,2.5,3.6,6.1,4.3,1.3,0.6,1.9,2.6,12.1
Trae Young,PG,22,ATL,37,37,34.5,7.7,17.8,.433,2.5,6.7,.379,5.2,11.1,.466,.505,8.4,9.6,.873,0.7,3.4,4.1,9.2,0.8,0.2,4.4,2.0,26.4
Cody Zeller,C,28,CHO,20,17,23.5,4.1,7.9,.522,0.2,1.0,.158,4.0,6.9,.572,.532,1.6,2.1,.780,2.6,5.0,7.5,2.3,0.7,0.6,1.1,2.5,10.0
Ivica Zubac,C,23,LAC,40,1,19.6,3.1,4.8,.647,0.0,0.1,.000,3.1,4.7,.654,.647,1.9,2.4,.819,2.4,4.5,6.9,1.1,0.4,0.8,1.0,2.5,8.1
